DT50,KOC,Freundlich,Rate,Scenario,Result
50,1655,1.05,25,1,0.0
50,1655,1.05,25,2,0.0
50,1655,1.05,25,3,0.0
50,1655,1.05,25,4,0.0
50,1655,1.05,25,5,0.0
50,1655,1.05,25,6,0.0
50,1655,1.05,25,7,0.0
50,1655,1.05,25,8,0.0
50,1655,1.05,25,9,0.0
190,1705,0.7,1675,1,0.0
190,1705,0.7,1675,2,0.0
190,1705,0.7,1675,3,0.0
190,1705,0.7,1675,4,0.0
190,1705,0.7,1675,5,0.0
190,1705,0.7,1675,6,0.0
190,1705,0.7,1675,7,0.0
190,1705,0.7,1675,8,0.0
190,1705,0.7,1675,9,0.0
125,1315,0.75,785,1,0.0
125,1315,0.75,785,2,0.0
125,1315,0.75,785,3,0.0
125,1315,0.75,785,4,0.0
125,1315,0.75,785,5,0.0
125,1315,0.75,785,6,0.0
125,1315,0.75,785,7,0.0
125,1315,0.75,785,8,0.0
125,1315,0.75,785,9,0.0
70,495,0.9,1975,1,0.0
70,495,0.9,1975,2,0.005
70,495,0.9,1975,3,0.0
70,495,0.9,1975,4,0.004
70,495,0.9,1975,5,0.011
70,495,0.9,1975,6,0.004
70,495,0.9,1975,7,0.003
70,495,0.9,1975,8,0.0
70,495,0.9,1975,9,0.0
115,115,1.0,1105,1,32.597
115,115,1.0,1105,2,62.667
115,115,1.0,1105,3,43.441
115,115,1.0,1105,4,49.916
115,115,1.0,1105,5,51.707
115,115,1.0,1105,6,41.849
115,115,1.0,1105,7,34.587
115,115,1.0,1105,8,4.787
115,115,1.0,1105,9,21.229
110,1265,0.75,1095,1,0.0
110,1265,0.75,1095,2,0.0
110,1265,0.75,1095,3,0.0
110,1265,0.75,1095,4,0.0
110,1265,0.75,1095,5,0.0
110,1265,0.75,1095,6,0.0
110,1265,0.75,1095,7,0.0
110,1265,0.75,1095,8,0.0
110,1265,0.75,1095,9,0.0
30,595,0.9,1615,1,0.0
30,595,0.9,1615,2,0.0
30,595,0.9,1615,3,0.0
30,595,0.9,1615,4,0.0
30,595,0.9,1615,5,0.0
30,595,0.9,1615,6,0.0
30,595,0.9,1615,7,0.0
30,595,0.9,1615,8,0.0
30,595,0.9,1615,9,0.0
20,445,1.05,495,1,0.0
20,445,1.05,495,2,0.002
20,445,1.05,495,3,0.0
20,445,1.05,495,4,0.001
20,445,1.05,495,5,0.002
20,445,1.05,495,6,0.001
20,445,1.05,495,7,0.001
20,445,1.05,495,8,0.0
20,445,1.05,495,9,0.0
30,1075,0.75,575,1,0.0
30,1075,0.75,575,2,0.0
30,1075,0.75,575,3,0.0
30,1075,0.75,575,4,0.0
30,1075,0.75,575,5,0.0
30,1075,0.75,575,6,0.0
30,1075,0.75,575,7,0.0
30,1075,0.75,575,8,0.0
30,1075,0.75,575,9,0.0
170,365,0.9,375,1,0.054000000000000006
170,365,0.9,375,2,1.246
170,365,0.9,375,3,0.066
170,365,0.9,375,4,0.989
170,365,0.9,375,5,1.506
170,365,0.9,375,6,0.93
170,365,0.9,375,7,0.8759999999999999
170,365,0.9,375,8,0.0
170,365,0.9,375,9,0.01
35,1955,0.85,1235,1,0.0
35,1955,0.85,1235,2,0.0
35,1955,0.85,1235,3,0.0
35,1955,0.85,1235,4,0.0
35,1955,0.85,1235,5,0.0
35,1955,0.85,1235,6,0.0
35,1955,0.85,1235,7,0.0
35,1955,0.85,1235,8,0.0
35,1955,0.85,1235,9,0.0
35,995,1.05,325,1,0.0
35,995,1.05,325,2,0.0
35,995,1.05,325,3,0.0
35,995,1.05,325,4,0.0
35,995,1.05,325,5,0.0
35,995,1.05,325,6,0.0
35,995,1.05,325,7,0.0
35,995,1.05,325,8,0.0
35,995,1.05,325,9,0.0
90,1535,0.7,265,1,0.0
90,1535,0.7,265,2,0.0
90,1535,0.7,265,3,0.0
90,1535,0.7,265,4,0.0
90,1535,0.7,265,5,0.0
90,1535,0.7,265,6,0.0
90,1535,0.7,265,7,0.0
90,1535,0.7,265,8,0.0
90,1535,0.7,265,9,0.0
60,265,0.9,635,1,0.0
60,265,0.9,635,2,0.044
60,265,0.9,635,3,0.002
60,265,0.9,635,4,0.035
60,265,0.9,635,5,0.069
60,265,0.9,635,6,0.03
60,265,0.9,635,7,0.026
60,265,0.9,635,8,0.0
60,265,0.9,635,9,0.0
175,1585,1.05,1415,1,0.008
175,1585,1.05,1415,2,0.232
175,1585,1.05,1415,3,0.012
175,1585,1.05,1415,4,0.218
175,1585,1.05,1415,5,0.459
175,1585,1.05,1415,6,0.242
175,1585,1.05,1415,7,0.202
175,1585,1.05,1415,8,0.0
175,1585,1.05,1415,9,0.002
40,1735,1.05,1425,1,0.0
40,1735,1.05,1425,2,0.0
40,1735,1.05,1425,3,0.0
40,1735,1.05,1425,4,0.0
40,1735,1.05,1425,5,0.0
40,1735,1.05,1425,6,0.0
40,1735,1.05,1425,7,0.0
40,1735,1.05,1425,8,0.0
40,1735,1.05,1425,9,0.0
90,705,0.75,1685,1,0.0
90,705,0.75,1685,2,0.0
90,705,0.75,1685,3,0.0
90,705,0.75,1685,4,0.0
90,705,0.75,1685,5,0.0
90,705,0.75,1685,6,0.0
90,705,0.75,1685,7,0.0
90,705,0.75,1685,8,0.0
90,705,0.75,1685,9,0.0
125,1485,1.0,1695,1,0.0
125,1485,1.0,1695,2,0.012
125,1485,1.0,1695,3,0.0
125,1485,1.0,1695,4,0.01
125,1485,1.0,1695,5,0.032
125,1485,1.0,1695,6,0.012
125,1485,1.0,1695,7,0.008
125,1485,1.0,1695,8,0.0
125,1485,1.0,1695,9,0.0
10,385,1.0,1405,1,0.0
10,385,1.0,1405,2,0.0
10,385,1.0,1405,3,0.0
10,385,1.0,1405,4,0.0
10,385,1.0,1405,5,0.0
10,385,1.0,1405,6,0.0
10,385,1.0,1405,7,0.0
10,385,1.0,1405,8,0.0
10,385,1.0,1405,9,0.0
20,1925,1.1,1285,1,0.0
20,1925,1.1,1285,2,0.0
20,1925,1.1,1285,3,0.0
20,1925,1.1,1285,4,0.0
20,1925,1.1,1285,5,0.0
20,1925,1.1,1285,6,0.0
20,1925,1.1,1285,7,0.0
20,1925,1.1,1285,8,0.0
20,1925,1.1,1285,9,0.0
20,155,0.85,575,1,0.0
20,155,0.85,575,2,0.0
20,155,0.85,575,3,0.0
20,155,0.85,575,4,0.0
20,155,0.85,575,5,0.0
20,155,0.85,575,6,0.0
20,155,0.85,575,7,0.0
20,155,0.85,575,8,0.0
20,155,0.85,575,9,0.0
160,815,1.05,655,1,0.184
160,815,1.05,655,2,1.393
160,815,1.05,655,3,0.28300000000000003
160,815,1.05,655,4,1.27
160,815,1.05,655,5,1.7719999999999998
160,815,1.05,655,6,1.203
160,815,1.05,655,7,1.121
160,815,1.05,655,8,0.002
160,815,1.05,655,9,0.071
105,1355,0.85,555,1,0.0
105,1355,0.85,555,2,0.0
105,1355,0.85,555,3,0.0
105,1355,0.85,555,4,0.0
105,1355,0.85,555,5,0.0
105,1355,0.85,555,6,0.0
105,1355,0.85,555,7,0.0
105,1355,0.85,555,8,0.0
105,1355,0.85,555,9,0.0
135,1375,0.95,385,1,0.0
135,1375,0.95,385,2,0.0
135,1375,0.95,385,3,0.0
135,1375,0.95,385,4,0.0
135,1375,0.95,385,5,0.001
135,1375,0.95,385,6,0.0
135,1375,0.95,385,7,0.0
135,1375,0.95,385,8,0.0
135,1375,0.95,385,9,0.0
195,1965,1.0,985,1,0.0
195,1965,1.0,985,2,0.01
195,1965,1.0,985,3,0.0
195,1965,1.0,985,4,0.009000000000000001
195,1965,1.0,985,5,0.036000000000000004
195,1965,1.0,985,6,0.013
195,1965,1.0,985,7,0.009000000000000001
195,1965,1.0,985,8,0.0
195,1965,1.0,985,9,0.0
80,1575,0.7,1005,1,0.0
80,1575,0.7,1005,2,0.0
80,1575,0.7,1005,3,0.0
80,1575,0.7,1005,4,0.0
80,1575,0.7,1005,5,0.0
80,1575,0.7,1005,6,0.0
80,1575,0.7,1005,7,0.0
80,1575,0.7,1005,8,0.0
80,1575,0.7,1005,9,0.0
55,1985,1.0,65,1,0.0
55,1985,1.0,65,2,0.0
55,1985,1.0,65,3,0.0
55,1985,1.0,65,4,0.0
55,1985,1.0,65,5,0.0
55,1985,1.0,65,6,0.0
55,1985,1.0,65,7,0.0
55,1985,1.0,65,8,0.0
55,1985,1.0,65,9,0.0
10,1765,1.0,955,1,0.0
10,1765,1.0,955,2,0.0
10,1765,1.0,955,3,0.0
10,1765,1.0,955,4,0.0
10,1765,1.0,955,5,0.0
10,1765,1.0,955,6,0.0
10,1765,1.0,955,7,0.0
10,1765,1.0,955,8,0.0
10,1765,1.0,955,9,0.0
30,1295,0.75,1765,1,0.0
30,1295,0.75,1765,2,0.0
30,1295,0.75,1765,3,0.0
30,1295,0.75,1765,4,0.0
30,1295,0.75,1765,5,0.0
30,1295,0.75,1765,6,0.0
30,1295,0.75,1765,7,0.0
30,1295,0.75,1765,8,0.0
30,1295,0.75,1765,9,0.0
145,1385,0.8,95,1,0.0
145,1385,0.8,95,2,0.0
145,1385,0.8,95,3,0.0
145,1385,0.8,95,4,0.0
145,1385,0.8,95,5,0.0
145,1385,0.8,95,6,0.0
145,1385,0.8,95,7,0.0
145,1385,0.8,95,8,0.0
145,1385,0.8,95,9,0.0
150,465,1.05,1285,1,2.822
150,465,1.05,1285,2,10.977
150,465,1.05,1285,3,4.271
150,465,1.05,1285,4,9.334
150,465,1.05,1285,5,11.616
150,465,1.05,1285,6,8.95
